season,week,home_team,away_team,model_spread,sigma,actual_margin,closing_spread_home,edge,model_side_correct,vegas_side_correct,edge_bucket,abs_edge,chosen_side,p_win,ev_per_1,breakeven_p,won,bet_side
2020,1,NYG,PIT,-4.756041027534772,7.943190336058034,-10.0,-6.0,1.2439589724652276,True,True,"(1, 2]",1.2439589724652276,AWAY,0.7804705670707393,0.4899892644077749,0.5238095238095238,True,PIT +6.0
2021,7,SF,IND,7.253272867597436,7.943190336058034,-12.0,3.5,3.753272867597436,False,False,"(3, 5]",3.753272867597436,HOME,0.7804116709393771,0.4898768263388109,0.5238095238095238,False,SF +3.5
2022,7,WAS,GB,-6.743962029036362,7.943190336058034,2.0,-4.0,-2.7439620290363624,False,False,"(-3, -2]",2.7439620290363624,AWAY,0.7802135043978763,0.48949850839594566,0.5238095238095238,True,GB +4.0
2023,2,JAX,KC,-7.240767562569879,7.943190336058034,-8.0,-3.5,-3.740767562569879,True,True,"(-5, -3]",3.740767562569879,AWAY,0.7801454915624348,0.48936866571010285,0.5238095238095238,True,KC +3.5
2022,1,CHI,SF,-4.225120366503956,7.943190336058034,9.0,-6.5,2.2748796334960444,False,False,"(2, 3]",2.2748796334960444,AWAY,0.7798121753605343,0.48873233477920175,0.5238095238095238,False,SF +6.5
2023,4,CLE,BAL,-8.704705710471666,7.943190336058034,-25.0,-2.0,-6.704705710471666,True,True,"(-7, -5]",6.704705710471666,AWAY,0.7793768674486032,0.48790129240187885,0.5238095238095238,True,BAL +2.0
2019,8,ATL,SEA,-3.2044977976954687,7.943190336058034,-7.0,-7.5,4.295502202304531,True,True,"(3, 5]",4.295502202304531,AWAY,0.7793724315266928,0.48789282382368615,0.5238095238095238,True,SEA +7.5
2018,4,NE,MIA,4.203254455282144,7.943190336058034,31.0,6.5,-2.296745544717856,True,True,"(-3, -2]",2.296745544717856,HOME,0.7793459031350073,0.48784217871228663,0.5238095238095238,True,NE +6.5
2023,10,CHI,CAR,7.703215394001692,7.943190336058034,3.0,3.0,4.703215394001692,True,True,"(3, 5]",4.703215394001692,HOME,0.7793450696801658,0.4878405875712256,0.5238095238095238,True,CHI +3.0
2022,17,PHI,NO,5.196695014548474,7.943190336058034,-10.0,5.5,-0.3033049854515264,False,False,"(-1, 1]",0.3033049854515264,HOME,0.7792059183528228,0.48757493503720717,0.5238095238095238,False,PHI +5.5
2020,1,JAX,IND,-3.694432774655861,7.943190336058034,7.0,-7.0,3.305567225344139,False,False,"(3, 5]",3.305567225344139,AWAY,0.779157628183655,0.48748274471425035,0.5238095238095238,True,IND +7.0
